,pair,period,signal,date
47,DJA,weekly,Strong Sell,2022-02-28 12:54:00-08:00
48,SPX,daily,Strong Sell,2022-03-01 12:55:00-08:00
49,SPX,weekly,Strong Sell,2022-03-01 12:55:00-08:00
50,DJA,daily,Strong Sell,2022-03-01 14:21:00-08:00
51,DJA,weekly,Strong Sell,2022-03-01 14:21:00-08:00
52,SPX,daily,Sell,2022-03-02 12:54:00-08:00
53,SPX,weekly,Strong Sell,2022-03-02 12:54:00-08:00
54,DJA,daily,Strong Sell,2022-03-02 12:54:00-08:00
55,DJA,weekly,Strong Sell,2022-03-02 12:54:00-08:00
56,SPX,daily,Neutral,2022-03-03 12:54:00-08:00
57,SPX,weekly,Strong Sell,2022-03-03 12:54:00-08:00
58,DJA,daily,Strong Sell,2022-03-03 12:54:00-08:00
59,DJA,weekly,Strong Sell,2022-03-03 12:54:00-08:00
60,SPX,daily,Strong Sell,2022-03-04 12:55:00-08:00
61,SPX,weekly,Strong Sell,2022-03-04 12:55:00-08:00
62,DJA,daily,Strong Sell,2022-03-04 12:58:00-08:00
63,DJA,weekly,Strong Sell,2022-03-04 12:59:00-08:00
64,SPX,daily,Strong Sell,2022-03-07 12:54:00-08:00
65,SPX,weekly,Strong Sell,2022-03-07 12:54:00-08:00
66,DJA,daily,Strong Sell,2022-03-07 12:54:00-08:00
67,DJA,weekly,Strong Sell,2022-03-07 12:54:00-08:00
68,SPX,daily,Strong Sell,2022-03-09 12:54:00-08:00
69,SPX,weekly,Strong Sell,2022-03-09 12:54:00-08:00
70,DJA,daily,Strong Sell,2022-03-09 12:54:00-08:00
71,DJA,weekly,Strong Sell,2022-03-09 12:54:00-08:00
72,SPX,daily,Strong Sell,2022-03-10 12:54:00-08:00
73,SPX,weekly,Strong Sell,2022-03-10 12:54:00-08:00
74,DJA,daily,Strong Sell,2022-03-10 12:54:00-08:00
75,DJA,weekly,Strong Sell,2022-03-10 12:54:00-08:00
76,SPX,daily,Strong Sell,2022-03-11 12:54:00-08:00
77,SPX,weekly,Strong Sell,2022-03-11 12:54:00-08:00
78,DJA,daily,Strong Sell,2022-03-11 12:54:00-08:00
79,DJA,weekly,Strong Sell,2022-03-11 12:54:00-08:00
80,SPX,daily,Strong Sell,2022-03-14 12:54:00-07:00
81,SPX,weekly,Strong Sell,2022-03-14 12:54:00-07:00
82,DJA,daily,Strong Sell,2022-03-14 12:54:00-07:00
83,DJA,weekly,Strong Sell,2022-03-14 12:54:00-07:00
84,SPX,daily,Strong Sell,2022-03-15 12:54:00-07:00
85,SPX,weekly,Strong Sell,2022-03-15 12:54:00-07:00
86,DJA,daily,Sell,2022-03-15 12:54:00-07:00
87,DJA,weekly,Strong Sell,2022-03-15 12:54:00-07:00
88,SPX,daily,Strong Buy,2022-03-17 12:54:00-07:00
89,SPX,weekly,Neutral,2022-03-17 12:54:00-07:00
90,DJA,daily,Strong Buy,2022-03-17 12:54:00-07:00
91,DJA,weekly,Neutral,2022-03-17 12:54:00-07:00
SPX,daily,Strong Buy,2022-03-18 12:58:00-07:00
SPX,weekly,Neutral,2022-03-18 12:58:00-07:00
DJA,daily,Strong Buy,2022-03-18 12:58:00-07:00
DJA,weekly,Neutral,2022-03-18 12:58:00-07:00
